"Name";"Interests-value";"Professional Experiences-value";"Studies-value"
"CV 104";"[{""desc"":null,""title"":""Public policy""},{""desc"":null,""title"":""consulting""},{""desc"":null,""title"":""data analysis""}]";"[{""dates"":""Mar 2023 - Present"",""company"":""Consulting Boutique"",""job title"":""Strategy Analyst Junior"",""description"":""Conducted market research and competitor benchmarking\nPrepared client presentations and strategic recommendations\nSupported senior consultants in project deliverables"",""country or city"":""not found""},{""dates"":""2021"",""company"":""Economic Research Institute"",""job title"":""Intern"",""description"":""Assisted in data collection and analysis for policy studies\nPrepared reports summarizing findings for research"",""country or city"":""not found""}]";"[{""dates"":""2019 - 2022"",""field"":""not found"",""university"":""University of Ljubljana"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business and Organization""}]"
"CV 105";"[{""desc"":null,""title"":""Entrepreneurship""},{""desc"":null,""title"":""learning""},{""desc"":null,""title"":""small business management""}]";"[{""dates"":""Summer 2023"",""company"":""not found"",""job title"":""Student Intern - FMCG Distributor"",""description"":""Tracked sales performance and assisted in inventory management\nGenerated weekly reports on distribution and stock levels"",""country or city"":""not found""},{""dates"":""2020 - Present"",""company"":""not found"",""job title"":""Family Business Support"",""description"":""Handled basic accounting tasks and financial record-keeping\nCoordinated supplier interactions and inventory updates"",""country or city"":""not found""}]";"[{""dates"":""2021 - Present"",""field"":""not found"",""university"":""North South University"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""}]"
"CV 106";"[{""desc"":null,""title"":""Process optimization""},{""desc"":null,""title"":""yoga""},{""desc"":null,""title"":""logistics trends""}]";"[{""dates"":""Apr 2022 - Sep 2023"",""company"":""not found"",""job title"":""Supply Chain Planner - Automotive Supplier"",""description"":""Prepared demand forecasts and coordinated inventory levels with suppliers\nDeveloped Excel dashboards to track supply chain KPIs\nCollaborated with production and procurement teams to optimize material flow"",""country or city"":""not found""},{""dates"":""2020"",""company"":""not found"",""job title"":""Intern - Warehouse Operations"",""description"":""Assisted in stock organization and warehouse layout planning\nImplemented stock optimization techniques to reduce overstocking\nMonitored inventory levels and assisted in monthly audits"",""country or city"":""not found""}]";"[{""dates"":""2018 - 2021"",""field"":""not found"",""university"":""University of Applied Sciences Bremen"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Logistics Management""}]"
"CV 298";"[{""desc"":null,""title"":""Vertical Farming Research""},{""desc"":null,""title"":""Contemporary Dance""},{""desc"":""(Logistics for Food Banks)"",""title"":""NGO Volunteering""}]";"[{""dates"":""July 2024 - Present."",""company"":""L'Oréal (Operations HQ)"",""job title"":""Global Procurement Intern"",""description"":""Leading a raw material sourcing project for sustainable packaging; negotiated with 10+ Tier-1 suppliers to reduce plastic waste by 15% while maintaining a 5% cost reduction."",""country or city"":""Paris""},{""dates"":""Jan 2024 - June 2024."",""company"":""Airbus"",""job title"":""Supply Chain Intern"",""description"":""Optimized the A321XLR assembly line buffer stock using Discrete Event Simulation (AnyLogic), reducing inventory holding costs by €250k/year."",""country or city"":""Toulouse""},{""dates"":""2023."",""company"":""Junior Conseil"",""job title"":""Junior Consultant"",""description"":""Performed a logistics audit for a retail SME, improving warehouse picking accuracy from 92% to 98.5%."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""Operations Research and Lean Manufacturing"",""university"":""INSA Lyon"",""country or city"":""not found"",""level_of_degree"":""BEng in Industrial Engineering & Management""},{""dates"":""not found"",""field"":""Exchange"",""university"":""Georgia Institute of Technology (USA)"",""country or city"":""not found"",""level_of_degree"":""not found""}]"
"CV 297";"[{""desc"":null,""title"":""Quantitative Macro Trading""},{""desc"":""(Certified Instructor)"",""title"":""Alpine Skiing""},{""desc"":null,""title"":""Historical Numismatics""}]";"[{""dates"":""July 2024 - Present."",""company"":""Deutsche Bank"",""job title"":""Sales & Trading Intern"",""description"":""Assisting the Equity Derivatives desk; developed a Python tool to automate the Greeks' calculation for a portfolio of €500M, reducing reporting latency by 15 minutes."",""country or city"":""Frankfurt""},{""dates"":""Jan 2024 - June 2024."",""company"":""UBS"",""job title"":""Wealth Management Intern"",""description"":""Performed portfolio rebalancing for Ultra-High-Net-Worth (UHNW) clients; conducted ESG integration analysis for a new €100M sustainable mandate."",""country or city"":""Zurich""},{""dates"":""2023."",""company"":""Allianz Global Investors"",""job title"":""Summer Analyst"",""description"":""Back-tested 5 multi-asset strategies using R, identifying a 2% alpha increase in the fixed-income segment."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Goethe University Frankfurt"",""country or city"":""not found"",""level_of_degree"":""BSc in Business Administration & Finance""}]"
"CV 296";"[{""desc"":null,""title"":""Bossa Nova Music""},{""desc"":null,""title"":""Urban Gardening""},{""desc"":null,""title"":""Community Mentorship""}]";"[{""dates"":""2022 - Present"",""company"":""VerdePay"",""job title"":""Co-founder"",""description"":""Developed a micro-loan platform for small-scale sustainable farmers in Brazil; secured $50k in seed funding and scaled to 500 active users."",""country or city"":""not found""},{""dates"":""2023"",""company"":""Natura & Co"",""job title"":""Impact Intern"",""description"":""Analyzed the social ROI (SROI) of the brand's Amazonian bio-diversity preservation programs."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""Social Entrepreneurship and Microfinance"",""university"":""FGV São Paulo"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""}]"
"CV 295";"[{""desc"":null,""title"":""Chess""},{""desc"":null,""title"":""Geopolitical Strategy Games""},{""desc"":null,""title"":""High-altitude Hiking""}]";"[{""dates"":""Jan 2024 - July 2024"",""company"":""International Energy Agency (IEA)"",""job title"":""Energy Analyst Intern"",""description"":""Compiled data for the 2025 \""World Energy Outlook\"" report; focused on the transition from coal to natural gas in Southeast Asia."",""country or city"":""Paris""},{""dates"":""2023"",""company"":""Shell"",""job title"":""Policy Intern"",""description"":""Analyzed the impact of the EU Carbon Border Adjustment Mechanism (CBAM) on global trade."",""country or city"":""not found""}]";"[{""dates"":""2019 - 2023"",""field"":""International Relations & Economics"",""university"":""Leiden University"",""country or city"":""not found"",""level_of_degree"":""BSc""}]"
"CV 294";"[{""desc"":null,""title"":""Classical Ballet""},{""desc"":null,""title"":""Sustainable Fashion Design""},{""desc"":null,""title"":""Contemporary Art History""}]";"[{""dates"":""June 2024 - Present."",""company"":""Hermès (HQ)"",""job title"":""PR & Communications Intern"",""description"":""Coordinating the \""Le Monde d'Hermès\"" international magazine distribution; managing press relations with 30+ editors across the EMEA region."",""country or city"":""Paris""},{""dates"":""2023."",""company"":""Chanel"",""job title"":""Retail Intern"",""description"":""Assisted the boutique manager in VIP clienteling and showroom inventory management."",""country or city"":""Hong Kong""}]";"[{""dates"":""2021 - 2024"",""field"":""Luxury Brand Equity"",""university"":""ESSEC Business School"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""}]"
"CV 293";"null";"[{""dates"":""July 2024 - Present."",""company"":""Lazard"",""job title"":""M&A Analyst Intern"",""description"":""Supporting a €1.5B cross-border acquisition in the Industrials sector; built a comprehensive 3-statement model and performed DCF and Trading Multiples valuations."",""country or city"":""Milan""},{""dates"":""2023."",""company"":""UniCredit"",""job title"":""Summer Analyst"",""description"":""Worked on 5 debt refinancing mandates for mid-cap Italian firms."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""Corporate Valuation"",""university"":""Bocconi University"",""country or city"":""not found"",""level_of_degree"":""BSc in International Economics and Finance""}]"
"CV 292";"[{""desc"":""(Prabhakar level)"",""title"":""Kathak Dance""},{""desc"":""(10k followers)"",""title"":""Food Photography""},{""desc"":null,""title"":""Fintech Policy""}]";"[{""dates"":""June 2024 - Present."",""company"":""Google"",""job title"":""Digital Marketing Intern"",""description"":""Managing a $100k/month YouTube ad campaign for Google Pixel; optimized bidding strategies using automated scripts, leading to a 15% reduction in Customer Acquisition Cost (CAC)."",""country or city"":""Bangalore""},{""dates"":""2023."",""company"":""Zomato"",""job title"":""Growth Intern"",""description"":""Analyzed customer churn data to design a re-engagement loyalty program that reactivated 50k+ users."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""Econometrics and Consumer Behavior"",""university"":""St. Stephen's College, Delhi"",""country or city"":""not found"",""level_of_degree"":""BA in Economics""}]"
